CODE;Label - English;Label - French;Label - German
DE1058V;Population on the 1st of January, 25-34 years, total;Population au 1er janvier, de 25 à 34 ans, total;Bevölkerung am 1. Januar im Alter von 25 bis 34 Jahren, insgesamt
DE1059V;Population on the 1st of January, 25-34 years, male;Population au 1er janvier, de 25 à 34 ans, hommes;Bevölkerung am 1. Januar im Alter von 25 bis 34 Jahren, männlich
DE1060V;Population on the 1st of January, 25-34 years, female;Population au 1er janvier, de 25 à 34 ans, femmes;Bevölkerung am 1. Januar im Alter von 25 bis 34 Jahren, weiblich
DE1104V;Population on the 1st of January, 30-34 years, total;Population au 1er janvier, de 30 à 34 ans, total;Bevölkerung am 1. Januar im Alter von 30 bis 34 Jahren, insgesamt
DE1105V;Population on the 1st of January, 30-34 years, male;Population au 1er janvier, de 30 à 34 ans, hommes;Bevölkerung am 1. Januar im Alter von 30 bis 34 Jahren, männlich
DE1106V;Population on the 1st of January, 30-34 years, female;Population au 1er janvier, de 30 à 34 ans, femmes;Bevölkerung am 1. Januar im Alter von 30 bis 34 Jahren, weiblich
DE1107V;Population on the 1st of January, 35-39 years, total;Population au 1er janvier, de 35 à 39 ans, total;Bevölkerung am 1. Januar im Alter von 35 bis 39 Jahren, insgesamt
DE1108V;Population on the 1st of January, 35-39 years, male;Population au 1er janvier, de 35 à 39 ans, hommes;Bevölkerung am 1. Januar im Alter von 35 bis 39 Jahren, männlich
DE1109V;Population on the 1st of January, 35-39 years, female;Population au 1er janvier, de 35 à 39 ans, femmes;Bevölkerung am 1. Januar im Alter von 35 bis 39 Jahren, weiblich
DE1061V;Population on the 1st of January, 35-44 years, total;Population au 1er janvier, de 35 à 44 ans, total;Bevölkerung am 1. Januar im Alter von 35 bis 44 Jahren, insgesamt
DE1062V;Population on the 1st of January, 35-44 years, male;Population au 1er janvier, de 35 à 44 ans, hommes;Bevölkerung am 1. Januar im Alter von 35 bis 44 Jahren, männlich
DE1063V;Population on the 1st of January, 35-44 years, female;Population au 1er janvier, de 35 à 44 ans, femmes;Bevölkerung am 1. Januar im Alter von 35 bis 44 Jahren, weiblich
DE1110V;Population on the 1st of January, 40-44 years, total;Population au 1er janvier, de 40 à 44 ans, total;Bevölkerung am 1. Januar im Alter von 40 bis 44 Jahren, insgesamt
DE1111V;Population on the 1st of January, 40-44 years, male;Population au 1er janvier, de 40 à 44 ans, hommes;Bevölkerung am 1. Januar im Alter von 40 bis 44 Jahren, männlich
DE1112V;Population on the 1st of January, 40-44 years, female;Population au 1er janvier, de 40 à 44 ans, femmes;Bevölkerung am 1. Januar im Alter von 40 bis 44 Jahren, weiblich
DE1113V;Population on the 1st of January, 45-49 years, total;Population au 1er janvier, de 45 à 49 ans, total;Bevölkerung am 1. Januar im Alter von 45 bis 49 Jahren, insgesamt
DE1114V;Population on the 1st of January, 45-49 years, male;Population au 1er janvier, de 45 à 49 ans, hommes;Bevölkerung am 1. Januar im Alter von 45 bis 49 Jahren, männlich
DE1115V;Population on the 1st of January, 45-49 years, female;Population au 1er janvier, de 45 à 49 ans, femmes;Bevölkerung am 1. Januar im Alter von 45 bis 49 Jahren, weiblich
DE1064V;Population on the 1st of January, 45-54 years, total;Population au 1er janvier, de 45 à 54 ans, total;Bevölkerung am 1. Januar im Alter von 45 bis 54 Jahren, insgesamt
DE1065V;Population on the 1st of January, 45-54 years, male;Population au 1er janvier, de 45 à 54 ans, hommes;Bevölkerung am 1. Januar im Alter von 45 bis 54 Jahren, männlich
DE1066V;Population on the 1st of January, 45-54 years, female;Population au 1er janvier, de 45 à 54 ans, femmes;Bevölkerung am 1. Januar im Alter von 45 bis 54 Jahren, weiblich
DE1116V;Population on the 1st of January, 50-54 years, total;Population au 1er janvier, de 50 à 54 ans, total;Bevölkerung am 1. Januar im Alter von 50 bis 54 Jahren, insgesamt
DE1117V;Population on the 1st of January, 50-54 years, male;Population au 1er janvier, de 50 à 54 ans, hommes;Bevölkerung am 1. Januar im Alter von 50 bis 54 Jahren, männlich
DE1118V;Population on the 1st of January, 50-54 years, female;Population au 1er janvier, de 50 à 54 ans, femmes;Bevölkerung am 1. Januar im Alter von 50 bis 54 Jahren, weiblich
DE1119V;Population on the 1st of January, 55-59 years, total;Population au 1er janvier, de 55 à 59 ans, total;Bevölkerung am 1. Januar im Alter von 55 bis 59 Jahren, insgesamt
DE1120V;Population on the 1st of January, 55-59 years, male;Population au 1er janvier, de 55 à 59 ans, hommes;Bevölkerung am 1. Januar im Alter von 55 bis 59 Jahren, männlich
DE1121V;Population on the 1st of January, 55-59 years, female;Population au 1er janvier, de 55 à 59 ans, femmes;Bevölkerung am 1. Januar im Alter von 55 bis 59 Jahren, weiblich
DE1025V;Population on the 1st of January, 55-64 years, total;Population au 1er janvier, de 55 à 64 ans, total;Bevölkerung am 1. Januar im Alter von 55 bis 64 Jahren, insgesamt
DE1026V;Population on the 1st of January, 55-64 years, male;Population au 1er janvier, de 55 à 64 ans, hommes;Bevölkerung am 1. Januar im Alter von 55 bis 64 Jahren, männlich
DE1027V;Population on the 1st of January, 55-64 years, female;Population au 1er janvier, de 55 à 64 ans, femmes;Bevölkerung am 1. Januar im Alter von 55 bis 64 Jahren, weiblich
DE1122V;Population on the 1st of January, 60-64 years, total;Population au 1er janvier, de 60 à 64 ans, total;Bevölkerung am 1. Januar im Alter von 60 bis 64 Jahren, insgesamt
DE1123V;Population on the 1st of January, 60-64 years, male;Population au 1er janvier, de 60 à 64 ans, hommes;Bevölkerung am 1. Januar im Alter von 60 bis 64 Jahren, männlich
DE1124V;Population on the 1st of January, 60-64 years, female;Population au 1er janvier, de 60 à 64 ans, femmes;Bevölkerung am 1. Januar im Alter von 60 bis 64 Jahren, weiblich
DE1125V;Population on the 1st of January, 65-69 years, total;Population au 1er janvier, de 65 à 69 ans, total;Bevölkerung am 1. Januar im Alter von 65 bis 69 Jahren, insgesamt
DE1126V;Population on the 1st of January, 65-69 years, male;Population au 1er janvier, de 65 à 69 ans, hommes;Bevölkerung am 1. Januar im Alter von 65 bis 69 Jahren, männlich
DE1127V;Population on the 1st of January, 65-69 years, female;Population au 1er janvier, de 65 à 69 ans, femmes;Bevölkerung am 1. Januar im Alter von 65 bis 69 Jahren, weiblich
DE1028V;Population on the 1st of January, 65-74 years, total;Population au 1er janvier, de 65 à 74 ans, total;Bevölkerung am 1. Januar im Alter von 65 bis 74 Jahren, insgesamt
DE1029V;Population on the 1st of January, 65-74 years, male;Population au 1er janvier, de 65 à 74 ans, hommes;Bevölkerung am 1. Januar im Alter von 65 bis 74 Jahren, männlich
DE1030V;Population on the 1st of January, 65-74 years, female;Population au 1er janvier, de 65 à 74 ans, femmes;Bevölkerung am 1. Januar im Alter von 65 bis 74 Jahren, weiblich
DE1128V;Population on the 1st of January, 70-74 years, total;Population au 1er janvier, de 70 à 74 ans, total;Bevölkerung am 1. Januar im Alter von 70 bis 74 Jahren, insgesamt
DE1129V;Population on the 1st of January, 70-74 years, male;Population au 1er janvier, de 70 à 74 ans, hommes;Bevölkerung am 1. Januar im Alter von 70 bis 74 Jahren, männlich
DE1130V;Population on the 1st of January, 70-74 years, female;Population au 1er janvier, de 70 à 74 ans, femmes;Bevölkerung am 1. Januar im Alter von 70 bis 74 Jahren, weiblich
DE1131V;Population on the 1st of January, 75-79 years, total;Population au 1er janvier, de 75 à 79 ans, total;Bevölkerung am 1. Januar im Alter von 75 bis 79 Jahren, insgesamt
DE1132V;Population on the 1st of January, 75-79 years, male;Population au 1er janvier, de 75 à 79 ans, hommes;Bevölkerung am 1. Januar im Alter von 75 bis 79 Jahren, männlich
DE1133V;Population on the 1st of January, 75-79 years, female;Population au 1er janvier, de 75 à 79 ans, femmes;Bevölkerung am 1. Januar im Alter von 75 bis 79 Jahren, weiblich
DE1055V;Population on the 1st of January, 75 years and over, total;Population au 1er janvier, 75 ans et plus, total;Bevölkerung am 1. Januar im Alter von 75 Jahren und älter, insgesamt
DE1056V;Population on the 1st of January, 75 years and over, male;Population au 1er janvier, 75 ans et plus, hommes;Bevölkerung am 1. Januar im Alter von 75 Jahren und älter, männlich
DE1057V;Population on the 1st of January, 75 years and over, female;Population au 1er janvier, 75 ans et plus, femmes;Bevölkerung am 1. Januar im Alter von 75 Jahren und älter, weiblich
DE1134V;Population on the 1st of January, 80-84 years, total;Population au 1er janvier, de 80 à 84 ans, total;Bevölkerung am 1. Januar im Alter von 80 bis 84 Jahren, insgesamt
DE1135V;Population on the 1st of January, 80-84 years, male;Population au 1er janvier, de 80 à 84 ans, hommes;Bevölkerung am 1. Januar im Alter von 80 bis 84 Jahren, männlich
DE1136V;Population on the 1st of January, 80-84 years, female;Population au 1er janvier, de 80 à 84 ans, femmes;Bevölkerung am 1. Januar im Alter von 80 bis 84 Jahren, weiblich
DE1137V;Population on the 1st of January, 85 years or over, total;Population au 1er janvier, 85 ans et plus, total;Bevölkerung am 1. Januar im Alter von 85 Jahren und älter, insgesamt
DE1138V;Population on the 1st of January, 85 years or over, male;Population au 1er janvier, 85 ans et plus, hommes;Bevölkerung am 1. Januar im Alter von 85 Jahren und älter, männlich
DE1139V;Population on the 1st of January, 85 years or over, female;Population au 1er janvier, 85 ans et plus, femmes;Bevölkerung am 1. Januar im Alter von 85 Jahren und älter, weiblich
DE4001V;Population with the place of residence in the same dwelling, in the year before;Population résidant dans le même logement l'année précédente;Bevölkerung mit dem selben Wohnsitz im Vorjahr
DE4002V;Population with the place of residence in another dwelling in the same city/FUA, in the year before;Population résidant dans un autre logement l'année précédente, mais dans la même ville/zone urbaine fonctionnelle;Bevölkerung mit einem anderen Wohnsitz im Vorjahr in der selben Stadt/im selben funktionalen Stadtgebiet
DE4003V;Population with the place of residence in another dwelling outside the current city/FUA in the same country, in the year before;Population résidant dans un autre logement l'année précédente, mais dans une autre ville/zone urbaine fonctionnelle du même pays;Bevölkerung mit Wohnsitz im Vorjahr außerhalb der selben/des selben funktionalen Stadtgebiets, im selben Land
DE4004V;Population with the place of residence in another EU country, in the year before;Population résidant dans un autre pays de l'UE l'année précédente;Bevölkerung mit Wohnsitz im Vorjahr in einem anderen EU-Land
DE4005V;Population with the place of residence outside the EU, in the year before;Population résidant en dehors de l'UE l'année précédente;Bevölkerung mit Wohnsitz im Vorjahr außerhalb der EU
DE1073V;Median population age;Âge médian de la population;Medianalter der Bevölkerung
DE2001V;Nationals;Nationaux;Eigene Staatsangehörige
DE2002V;EU foreigners;Étrangers originaires de l'UE;EU-Ausländer
DE2003V;Non-EU foreigners;Étrangers non originaires de l'UE;Nicht-EU-Ausländer
DE2008V;Native-born;Autochtones;Im Inland geboren
DE2009V;Foreign-born;Allochtones;Im Ausland geboren
DE2010V;Foreign-born in a EU country;Allochtones nés dans un pays de l'UE;Im EU-Ausland geboren
DE2011V;Foreign-born in a non-EU country;Allochtones nés hors UE;Im Nicht-EU-Ausland geboren
DE2012V;Foreigners;Étrangers;Ausländer
DE3001V;Private households (excluding institutional households);Ménages privés (à l'exclusion des ménages institutionnels);Private Haushalte (ausgenommen Anstaltshaushalte)
DE3017V;Population living in private households (excluding institutional households);Population vivant dans des ménages privés (à l'exclusion des ménages institutionnels);In privaten Haushalten lebende Bevölkerung (ausgenommen Anstaltshaushalte)
DE3002V;One person households;Ménages d'une personne;Einpersonenhaushalte
DE3005V;Lone parent private households (with children aged 0 to under 18);Ménages monoparentaux (avec enfants âgés de moins de 18 ans);Private Haushalte von Alleinerziehenden (mit Kindern unter 18 Jahren)
DE3008V;Lone pensioner (above retirement age) households;Ménages constitués d'un retraité (ayant dépassé l'âge de la retraite) vivant seul;Einpersonenhaushalte von Rentnern (über dem Rentenalter)
DE3011V;Households with children aged 0 to under 18;Ménages avec enfants âgés de moins de 18 ans;Haushalte mit Kindern unter 18 Jahren
SA1001V;Number of conventional dwellings;Nombre de logements conventionnels;Herkömmliche Wohnungen
SA1004V;Number of houses;Nombre de maisons;Bestand an Ein- und Zweifamilienhäusern
SA1005V;Number of apartments;Nombre d'appartements;Geschosswohnungsbestand
SA1007V;Number of households living in houses;Nombre de ménages habitant une maison individuelle;Haushalte in Ein- und Zweifamilienhäusern
SA1008V;Number of households living in apartments;Nombre de ménages habitant un appartement;Haushalte in Geschosswohnungen
SA1011V;Households owning their own dwelling;Ménages possédant leur propre logement;Eigentümerhaushalte
SA1012V;Households in social housing;Ménages en logement social;Mieterhaushalte in Sozialwohnungen
SA1013V;Households in private rented housing;Ménages en location privée;Mieterhaushalte in freifinanzierten Wohnungen
SA1029V;Number of people in accommodation for the homeless;Nombre de personnes en foyer d'accueil pour sans-abri;Bewohner in Obdachlosenheimen
SA1050V;Average price for buying a house - EUR;Prix d'achat moyen d'une maison - EUR;Durchschnittlicher Kaufpreis für Ein- oder Zweifamilienhäuser - EUR
SA1051V;Average price for buying an apartment - EUR;Prix d'achat moyen d'un appartement - EUR;Durchschnittlicher Kaufpreis für Geschosswohnungen - EUR
SA1049V;Average annual rent for housing per m² - EUR;Loyer annuel moyen d'un logement, au m² - EUR;Durchschnittliche Jahresmiete für Wohnraum pro m² - EUR
SA1018V;Dwellings lacking basic amenities;Logements ne disposant pas des commodités élémentaires;Wohnungen mit Mängeln in der Grundausstattung
SA1025V;Empty conventional dwellings;Logements conventionnels vides;Leerstehende herkömmliche Wohnungen
SA1022V;Average area of living accommodation - m²/person;Surface habitable moyenne - m²/personne;Durchschnittliche Wohnfläche - m² pro Person
SA2004V;Infant Mortality per year;Mortalité infantile par an;Säuglingssterblichkeit
SA2007V;Number of live births per year;Nombre de naissances vivantes par an;Lebendgeborene
SA2013V;Number of deaths per year under 65 due to diseases of the circulatory or respiratory systems;Nombre de décès dus à des maladies des appareils circulatoire et respiratoire chez les moins de 65 ans par an;Sterbefälle aufgrund von Krankheiten des Kreislauf- oder Atmungssystems bei Personen unter 65 Jahren
SA2016V;Total deaths under 65 per year;Nombre total de décès chez lez moins de 65 ans par an;Sterbefälle bei Personen unter 65 Jahren
SA2017V;Total deaths under 65 per year, male;Nombre total de décès d'hommes de moins de 65 ans par an;Sterbefälle bei Personen unter 65 Jahren, männlich
SA2018V;Total deaths under 65 per year, female;Nombre total de décès de femmes de moins de 65 ans par an;Sterbefälle bei Personen unter 65 Jahren, weiblich
SA2019V;Total deaths per year;Nombre total de décès par an;Sterbefälle
SA2020V;Total deaths per year, male;Nombre total de décès par an, hommes;Sterbefälle, männlich
SA2021V;Total deaths per year, female;Nombre total de décès par an, femmes;Sterbefälle, weiblich
SA3005V;Number of murders and violent deaths;Nombre de meurtres et de morts violentes;Mord- und Totschlagsfälle
EC1001V;Economically active population, total;Population active, total;Erwerbsbevölkerung, insgesamt
EC1002V;Economically active population, male;Population active, hommes;Erwerbsbevölkerung, männlich
EC1003V;Economically active population, female;Population active, femmes;Erwerbsbevölkerung, weiblich
EC1174V;Economically active population, 20-64, total;Population active, 20 à 64 ans, total;Erwerbsbevölkerung im Alter von 20 bis 64 Jahren, insgesamt
EC1175V;Economically active population, 20-64, male;Population active, 20 à 64 ans, hommes;Erwerbsbevölkerung im Alter von 20 bis 64 Jahren, männlich
EC1176V;Economically active population, 20-64, female;Population active, 20 à 64 ans, femmes;Erwerbsbevölkerung im Alter von 20 bis 64 Jahren, weiblich
EC1145V;Economically active population, 55-64, total;Population active, 55 à 64 ans, total;Erwerbsbevölkerung im Alter von 55 bis 64 Jahren, insgesamt
EC1146V;Economically active population, 55-64, male;Population active, 55 à 64 ans, hommes;Erwerbsbevölkerung im Alter von 55 bis 64 Jahren, männlich
EC1147V;Economically active population, 55-64, female;Population active, 55 à 64 ans, femmes;Erwerbsbevölkerung im Alter von 55 bis 64 Jahren, weiblich
EC1010V;Persons unemployed, total;Chômeurs, total;Erwerbslose, insgesamt
EC1011V;Persons unemployed, male;Chômeurs, hommes;Erwerbslose, männlich
EC1012V;Persons unemployed, female;Chômeurs, femmes;Erwerbslose, weiblich
EC1177V;Persons employed, 20-64, total;Personnes ayant un emploi, 20 à 64 ans, total;Erwerbslose im Alter von 20 bis 64 Jahren, insgesamt
EC1178V;Persons employed, 20-64, male;Personnes ayant un emploi, 20 à 64 ans, hommes;Erwerbslose im Alter von 20 bis 64 Jahren, männlich
EC1179V;Persons employed, 20-64, female;Personnes ayant un emploi, 20 à 64 ans, femmes;Erwerbslose im Alter von 20 bis 64 Jahren, weiblich
EC1180V;Persons employed, 55-64, total;Personnes ayant un emploi, de 55 à 64 ans, total;Erwerbslose im Alter von 55 bis 64 Jahren, insgesamt
EC1181V;Persons employed, 55-64, male;Personnes ayant un emploi, de 55 à 64 ans, hommes;Erwerbslose im Alter von 55 bis 64 Jahren, männlich
EC1182V;Persons employed, 55-64, female;Personnes ayant un emploi, de 55 à 64 ans, femmes;Erwerbslose im Alter von 55 bis 64 Jahren, weiblich
EC2021V;All companies;Toutes les sociétés;Alle Unternehmen
EC2039V;Number of  local units - all economic activities;Nombre d'unités locales - toutes activités économiques;Anzahl der örtlichen Einheiten - alle Wirtschaftszweige
EC2020V;Total employment/jobs (work place based);Emploi total/emplois (postes de travail);Erwerbstätige/Arbeitsplätze (bezogen auf den Arbeitsort), insgesamt
EC2008V;Employment (jobs) in agriculture, fishery (NACE Rev. 2, A);Emploi (postes de travail) dans l'agriculture et la pêche (NACE Rév.2, A);Erwerbstätige (Arbeitsplätze) in Landwirtschaft und Fischerei (NACE Rev. 2, A)
EC2009V;Employment (jobs) in mining, manufacturing, energy (NACE Rev. 2, B-E);Emploi (postes de travail) dans les secteurs minier, manufacturier et de l'énergie (NACE Rév.2, B-E);Erwerbstätige (Arbeitsplätze) in Bergbau, Verarbeitendem Gewerbe und Energieversorgung (NACE Rev. 2, B bis E)
EC2022V;Employment (jobs) in construction (NACE Rev. 2, F);Emploi (postes de travail) dans la construction (NACE Rév.2, F);Erwerbstätige (Arbeitsplätze) im Bau (NACE Rev. 2, F)
EC2032V;Employment (jobs) in trade, transport, hotels, restaurants (NACE Rev. 2, G to I);Emploi (postes de travail) dans les transports, l'hébergement et la restauration (NACE Rév. 2., G à I);Erwerbstätige (Arbeitsplätze) im Handel, in Verkehr und in Beherbergungs- und Gaststätten (NACE Rev. 2, G bis I)
EC2033V;Employment (jobs) in information and communication (NACE Rev. 2, J);Emploi (postes de travail) dans l'information et la communication (NACE Rév.2, J);Erwerbstätige (Arbeitsplätze) in Information und Kommunikation (NACE Rev. 2, J)
EC2034V;Employment (jobs) in financial and insurance activities (NACE Rev. 2, K);Emploi (postes de travail) dans les activités financières et d'assurance (NACE Rév.2, K);Erwerbstätige (Arbeitsplätze) in der Erbringung von Finanz- und Versicherungsdienstleistungen (NACE Rev. 2, K)
EC2035V;Employment (jobs) in real estate activities (NACE Rev. 2, L);Emploi (postes de travail) dans les activités immobilières (NACE Rév.2, L);Erwerbstätige (Arbeitsplätze) im Grundstücks- und Wohnungswesen (NACE Rev. 2, L)
EC2036V;"Employment (jobs) in professional, scientific and technical activities; administrative and support service activities (NACE Rev. 2, M and N)";"Emplois (postes de travail) dans les activités spécialisées, scientifiques et techniques; activités de services administratifs et de soutien (NACE Rév. 2., M et N)";Erwerbstätige (Arbeitsplätze) in der Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen sowie sonstigen wirtschaftlichen Dienstleistungen (NACE Rev. 2, M und N)
EC2037V;Employment (jobs) in public administration, defence, education, human health and social work activities (NACE Rev. 2, O to Q);Emplois (postes de travail) dans l'administration publique, la défense, l'enseignement, la santé humaine et l'action sociale (NACE Rév. 2., O à Q);Erwerbstätige (Arbeitsplätze) in öffentlicher Verwaltung und Verteidigung, in Erziehung und Unterricht und im Gesundheits- und Sozialwesen (NACE Rev. 2, O bis Q)
EC2038V;"Employment (jobs) in arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies (NACE Rev. 2, R to T)";"Emplois (postes) dans les arts, les spectacles et les activités récréatives; autres activités de services activités des ménages et des organisations et organismes extraterritoriaux (NACE Rév. 2, R à T)";Erwerbstätige (Arbeitsplätze) in Kunst, Unterhaltung und Erholung, in der Erbringung von sonstigen Dienstleistungen, in privaten Haushalten oder exterritorialen Organisationen und Körperschaften (NACE Rev. 2, R bis T)
EC3039V;Median disposable annual household income - EUR;Revenu annuel médian disponible des ménages - EUR;Mittleres verfügbares Jahreseinkommen der privaten Haushalte (Median) - EUR
EC3040V;Average disposable annual household income - EUR;Revenu annuel moyen disponible des ménages - EUR;Durchschnittliches verfügbares Jahreseinkommen der privaten Haushalte - EUR
EC3064V;Share of persons living in households with very low work intensity - %;Proportion des personnes vivant dans un ménage à faible niveau d'intensité de travail - %;Anteil der in Haushalten mit sehr niedriger Erwerbsintensität lebende Personen - %
EC3065V;Share of persons at risk of poverty after social transfers -%;Proportion des personnes menacées par la pauvreté après transferts sociaux - %;Anteil der armutsgefährdete Personen nach Sozialtransfers - %
EC3066V;Share of severely materially deprived persons -%;Proportion des personnes vivant dans un dénuement extrême - %;Anteil der stark materiell benachteiligte Personen - %
EC3067V;Share of persons at risk of poverty or social exclusion -%;Proportion des personnes menacées par la pauvreté ou l'exclusion sociale - %;Anteil der von Armut oder sozialer Ausgrenzung bedrohte Personen - %
TE1001V;Number of children 0-4 in day care or school;Nombre d'enfants de 0 à 4 ans en garderie ou à l'école;Kinder im Alter von 0 bis 4 Jahren in Kindertagesstätten
TE1039V;Share of early leavers from education and training, total -%;Proportion des jeunes en décrochage scolaire dans le cadre de l'éducation et de la formation, total - %;Anteil der frühzeitige Schul- und Ausbildungsabgänger, insgesamt - %
TE1040V;Share of early leavers from education and training, male -%;Proportion des jeunes en décrochage scolaire dans le cadre de l'éducation et de la formation, hommes - %;Anteil der frühzeitige Schul- und Ausbildungsabgänger, männlich - %
TE1041V;Share of early leavers from education and training, female -%;Proportion des jeunes en décrochage scolaire dans le cadre de l'éducation et de la formation, femmes - %;Anteil der frühzeitige Schul- und Ausbildungsabgänger, weiblich - %
TE1026V;Students in higher education (ISCED level 5-8 from 2014 onwards), total;Étudiants dans l'enseignement supérieur (niveaux 5-8 de la CITE, à partir de 2014), total;Studierende an Hochschuleinrichtungen (ISCED-Stufe 5-8, ab 2014), insgesamt
TE1027V;Students in higher education (ISCED level 5-8 from 2014 onwards), male;Étudiants dans l'enseignement supérieur (niveaux 5-8 de la CITE, à partir de 2014), hommes;Studierende an Hochschuleinrichtungen (ISCED-Stufe 5-8, ab 2014), männlich
TE1028V;Students in higher education (ISCED level 5-8 from 2014 onwards), female;Étudiants dans l'enseignement supérieur (niveaux 5-8 de la CITE, à partir de 2014), femmes;Studierende an Hochschuleinrichtungen (ISCED-Stufe 5-8, ab 2014), weiblich
TE2025V;Persons (aged 25-64) with ISCED level 0, 1or 2 as the highest level of education;Personnes (âgées de 25 à 64 ans) dont le niveau d'instruction le plus élevé est la CITE 0, 1 ou 2;Personen (im Alter von 25 bis 64 Jahren) mit Abschluss auf ISCED-Stufe 0, 1 oder 2 als höchstem Bildungsabschluss
TE2028V;Persons (aged 25-64) with ISCED level 3 or 4 as the highest level of education;Personnes (âgées de 25 à 64 ans) dont le niveau d'instruction le plus élevé est la CITE 3 ou 4;Personen (im Alter von 25 bis 64 Jahren) mit Abschluss auf ISCED-Stufe 3 oder 4 als höchstem Bildungsabschluss
TE2031V;Persons aged 25-64 with ISCED level 5, 6, 7 or 8 as the highest level of education, from 2014 onwards;Personnes (âgées de 25 à 64 ans) dont le niveau d'instruction le plus élevé est la CITE 5, 6, 7 ou 8, à partir de 2014;Personen (im Alter von 25 bis 64 Jahren) mit Abschluss auf ISCED-Stufe 5, 6, 7 oder 8 als höchstem Bildungsabschluss, ab 2014
EN1002V;Total number of hours of sunshine per day;Nombre total d'heures d'ensoleillement par jour;Tägliche Sonnenscheindauer in Stunden
EN1003V;Average temperature of warmest month - degrees;Température moyenne du mois le plus chaud - degrés;Durchschnittstemperatur im wärmsten Monat - Grad
EN1004V;Average temperature of coldest month - degrees;Température moyenne du mois le plus froid - degrés;Durchschnittstemperatur im kältesten Monat - Grad
EN1005V;Rainfall - litre/m²;Précipitations - litres/m²;Niederschläge - Liter/m²
EN2002V;Number of days ozone O3 concentrations exceed 120 µg/m³;Nombre de jours où la concentration d'ozone (O3) dépasse 120 µg/m³;Tage mit Konzentrationen von Ozon (O3) über 120 µg/m³
